"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-27","29","H,,S","50",",,W","10",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-28","9","H,,S","15",",,W","3",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-29","14","H,,S","28",",,W","4",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-30","23","H,,S","39",",,W","12",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-01-31","38","H,,S","45",",,W","32",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-01","48","H,,S","63",",,W","40",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-02","42","H,,S","54",",,W","29",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-03","30","H,,S","36",",,W","25",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-04","28","H,,S","33",",,W","25",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-05","31","H,,S","34",",,W","26",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-06","25","H,,S","27",",,W","11",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-07","13","H,,S","23",",,W","6",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-08","22","H,,S","29",",,W","18",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-09","30","H,,S","33",",,W","24",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-10","23","H,,S","26",",,W","14",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-11","16","H,,S","27",",,W","6",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-12","22","H,,S","38",",,W","12",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-13","30","H,,S","43",",,W","19",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-14","36","H,,S","40",",,W","26",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-15","26","H,,S","31",",,W","19",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-16","32","H,,S","39",",,W","26",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-17","32","H,,S","45",",,W","25",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-18","45","H,,S","58",",,W","35",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-19","54","H,,S","58",",,W","46",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-20","56","H,,S","72",",,W","44",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-21","49","H,,S","51",",,W","40",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-22","49","H,,S","64",",,W","37",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-23","42","H,,S","44",",,W","28",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-24","31","H,,S","42",",,W","22",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-25","32","H,,S","39",",,W","27",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-26","25","H,,S","29",",,W","17",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-27","25","H,,S","34",",,W","20",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-02-28","26","H,,S","45",",,W","17",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-03-01","44","H,,S","57",",,W","36",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-03-02","39","H,,S","49",",,W","21",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-03-03","21","H,,S","25",",,W","16",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-03-04","22","H,,S","36",",,W","14",",,W",,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","2014-03-05","32","H,,S","44",",,W","23",",,W",,
